battery,capacity,connectivity,display,fast_charge_point,features,front_camera,in_store,launch_date,oper_sys,perform,prod_brand,prod_name,prod_no_of_ratings,prod_price,prod_star,prod_url,product_availability,ram,rear_camera,refresh_rate
5500 mah battery with fast charging,5500,dual sim: nano + nano with volte support,17.07,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,50.0,128.0,,android v13,qualcomm snapdragon 730g octa core processor,xiaomi,xiaomi redmi note 14 pro max 5g,0,20490,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-14-pro-max-5g,in stock,8.0,108.0,60
"4520 mah battery with super vooc charging, charges upto 37% in 10 minutes",4520,dual sim: nano + nano with volte support,18.03,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v12,qualcomm snapdragon 8 plus gen 1 octa core processor,oppo,oppo find n2 5g,0,94890,0.0,https://pricebaba.com/mobile/oppo-find-n2-5g,in stock,12.0,50.0,120
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,16.94,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,128.0,50,android v12,qualcomm snapdragon 695 octa core processor,honor,honor magic 5 lite,0,32790,0.0,https://pricebaba.com/mobile/honor-magic-5-lite,in stock,6.0,64.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano (hybrid) with volte support,16.54,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,128.0,,android v13,mediatek dimensity 6020 octa core processor,iqoo,iqoo z7i,0,11390,0.0,https://pricebaba.com/mobile/iqoo-z7i,in stock,4.0,13.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano (hybrid) with volte support,17.25,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,128.0,,android v13,qualcomm snapdragon 4 gen 2 octa core processor,xiaomi,xiaomi redmi note 12r,0,12590,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-12r,in stock,4.0,50.0,90
1450 mah battery,1450,single sim: nano with volte support,6.86,No,3.5 mm headphone jack present,0.0,4.0,,kai os,qualcomm snapdragon 215 quad core processor,nokia,nokia 2780 flip,0,7490,0.0,https://pricebaba.com/mobile/nokia-2780-flip,in stock,0.5,5.0,60
"4610 mah battery with fast charging, charges upto 100% in 19 minutes",4610,dual sim: nano + nano with volte support,17.02,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,60.0,128.0,,android v12,qualcomm snapdragon 8 plus gen 1 octa core processor,motorola,motorola x30 pro,0,43690,0.0,https://pricebaba.com/mobile/motorola-x30-pro,in stock,8.0,200.0,144
5000 mah battery,5000,dual sim: nano + nano (hybrid) with volte support,16.51,No,side fingerprint sensor which unlocks in 0.192 seconds|face unlock|3.5 mm headphone jack present,8.0,128.0,,android v12,mediatek dimensity 700 mt6833 octa core processor,lava,lava blaze x1 5g,0,11999,0.0,https://pricebaba.com/mobile/lava-blaze-x1-5g,in stock,6.0,50.0,90
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,17.15,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,512.0,,android v13,mediatek dimensity 1300 mt6893z octa core processor,xiaomi,xiaomi redmi note 15 pro,0,25990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-15-pro,in stock,12.0,108.0,60
5200 mah battery with super dart charging,5200,dual sim: nano + nano with volte support,17.12,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,realme,realme gt neo 6 pro,0,49999,0.0,https://pricebaba.com/mobile/realme-gt-neo-6-pro,in stock,8.0,108.0,144
4800 mah battery with fast charging,4800,dual sim: nano + nano with volte support,16.48,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v12,qualcomm snapdragon 695 octa core processor,nokia,nokia xr21,0,51190,0.0,https://pricebaba.com/mobile/nokia-xr21,in stock,6.0,64.0,120
"5000 mah battery with super vooc charging, charges upto 54% in 30 minutes",5000,dual sim: nano + nano with volte support,16.33,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,256.0,,android v13,mediatek helio g99 octa core processor,oppo,oppo reno8 t 4g,0,19999,0.0,https://pricebaba.com/mobile/oppo-reno8-t-4g,in stock,8.0,100.0,90
"6000 mah battery with fast charging, charges upto 50% in 21 minutes",6000,dual sim: nano + nano with volte support,17.22,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,256.0,,android v13,mediatek helio g99 octa core processor,tecno,tecno pova 5,0,13490,0.0,https://pricebaba.com/mobile/tecno-pova-5,in stock,8.0,50.0,120
7500 mah battery with fast charging,7500, with volte support,17.27,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,44.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,nokia,nokia c99,0,45990,0.0,https://pricebaba.com/mobile/nokia-c99,in stock,8.0,108.0,60
1450 mah battery,1450,dual sim: nano + nano with dual standby volte support,4.57,No,3.5 mm headphone jack present,0.0,0.0,,,unisoc t107,nokia,nokia 105 4g 2023,0,2390,0.0,https://pricebaba.com/mobile/nokia-105-4g-2023,in stock,0.0,0.0,60
"4800 mah battery with flash charging, charges upto 100% in 26 minutes",4800,dual sim: nano + nano with volte support,20.4,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,vivo,vivo x fold 2,0,107490,0.0,https://pricebaba.com/mobile/vivo-x-fold-2,in stock,12.0,50.0,120
5500 mah battery with fast charging,5500,dual sim: nano + nano with volte support,17.07,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,64.0,256.0,,android v13,mediatek dimensity 9200 octa core processor,iqoo,iqoo neo 9,0,49990,0.0,https://pricebaba.com/mobile/iqoo-neo-9,in stock,12.0,108.0,60
4800 mah battery with fast charging,4800,dual sim: nano + nano with volte support,17.32,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,black shark,black shark 6,0,49990,0.0,https://pricebaba.com/mobile/black-shark-6,in stock,12.0,50.0,165
5000 mah battery,5000,dual sim: nano + nano with volte support,17.27,No,rear fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,,android v12,mediatek helio g37 mt6765 octa core processor,blu,blu g72 max,0,8999,0.0,https://pricebaba.com/mobile/blu-g72-max,in stock,4.0,13.0,90
5500 mah battery with fast charging,5500,dual sim: nano + nano with volte support,17.4,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,64.0,512.0,,android v13,mediatek dimensity 9200 octa core processor,tecno,tecno phantom x4,0,43990,0.0,https://pricebaba.com/mobile/tecno-phantom-x4,in stock,12.0,108.0,60
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,17.32,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,samsung exynos 2200 octa core processor,samsung,samsung galaxy s25 plus,0,89990,0.0,https://pricebaba.com/mobile/samsung-galaxy-s25-plus,in stock,12.0,108.0,60
5100 mah battery with fast charging,5100,dual sim: nano + nano with volte support,17.32,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,64.0,512.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,motorola,motorola x60,0,52990,0.0,https://pricebaba.com/mobile/motorola-x60,in stock,12.0,64.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,50,android v13,mediatek helio g37 octa core processor,tcl,tcl 40 xl,0,12290,0.0,https://pricebaba.com/mobile/tcl-40-xl,in stock,4.0,50.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.66,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,64.0,,android v13,mediatek dimensity 700 mt6833 octa core processor,tcl,tcl 40 xe,0,13990,0.0,https://pricebaba.com/mobile/tcl-40-xe,in stock,4.0,13.0,90
